TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS
1610612754,"Indiana Pacers",27,14,13,0.519,48,41.1,90,0.457,14.9,40.3,0.368,18.8,23.8,0.79,10.4,32,42.4,27.3,15.8,8.1,6.1,5.2,22,20.9,115.9,-0.8,6,11,12,13,30,18,8,23,3,4,10,14,13,15,15,23,25,5,25,6,2,22,26,13,7,20,10,"Indiana Pacers",1610612748,"Miami Heat",27,12,15,0.444,48.6,38.9,85.9,0.453,12,35.2,0.34,18.9,22.7,0.833,9.1,31.9,41,23.8,14,7.7,3.3,4.1,19.1,20.6,108.6,-1.7,6,21,21,21,7,30,23,26,13,8,22,13,20,2,25,24,27,21,7,10,30,6,3,16,28,23,10,"Miami Heat"
1610612764,"Washington Wizards",27,11,16,0.407,48.4,41.3,87.4,0.472,11,32.1,0.342,17.3,22.4,0.769,9.7,34.7,44.4,24.6,13.6,6.7,5.9,4.4,19.8,19.7,110.8,-2.1,6,22,25,25,17,17,18,14,23,20,19,22,22,23,18,4,10,16,4,25,4,9,8,25,22,25,10,"Washington Wizards",1610612751,"Brooklyn Nets",28,16,12,0.571,48.2,41.9,83.8,0.5,11.8,31.5,0.373,17,21.5,0.791,8.1,32.6,40.8,26.1,14.9,6.9,7,4,22,19.1,112.5,1.2,3,6,9,8,27,15,27,2,17,23,7,26,26,14,28,17,28,11,18,21,1,5,27,28,16,13,10,"Brooklyn Nets"
1610612763,"Memphis Grizzlies",26,17,9,0.654,48.4,42.9,92.6,0.463,12.1,33.8,0.358,17.2,24.6,0.698,13.5,35.1,48.7,24.8,14.7,7.5,5.6,5.5,19.7,22,115,3,17,4,4,4,11,7,3,20,11,14,15,24,10,30,1,3,1,14,12,12,6,25,6,3,10,6,10,"Memphis Grizzlies",1610612737,"Atlanta Hawks",27,14,13,0.519,48.6,43.2,92.7,0.466,9.8,30.4,0.321,17.4,21.2,0.818,11.2,33.3,44.5,23.6,13.5,7.2,4.8,5,20,21,113.5,-0.6,6,11,12,13,7,5,2,18,29,27,29,21,27,4,11,13,9,22,3,14,16,19,12,11,14,18,10,"Atlanta Hawks"
1610612742,"Dallas Mavericks",26,13,13,0.5,48.6,39.4,83.6,0.471,14.4,40.6,0.355,18.3,25.4,0.723,7.9,30.5,38.4,22,12.7,7.9,3.8,4.5,21.2,22.6,111.5,1.6,17,18,12,18,5,25,28,15,5,3,16,17,5,29,30,30,30,28,1,7,28,11,20,1,18,9,10,"Dallas Mavericks",1610612760,"Oklahoma City Thunder",26,11,15,0.423,49,43.3,94.2,0.46,11.6,34,0.34,17.7,22.2,0.795,12.1,32.6,44.7,24.3,14.3,8.2,5.7,5.8,21.7,19.7,115.8,-1.7,17,22,21,22,1,4,1,22,19,11,20,18,23,11,6,16,8,18,9,5,5,26,24,26,8,24,10,"Oklahoma City Thunder"
1610612759,"San Antonio Spurs",26,8,18,0.308,48.2,42,90.7,0.463,11.5,33.9,0.339,14.6,20,0.729,11.7,30.8,42.5,27.5,16.4,7.1,4.3,4.2,19.9,18.8,110,-10.4,17,26,26,26,22,14,7,21,20,13,24,30,29,28,9,28,23,4,26,17,23,7,11,29,25,30,10,"San Antonio Spurs",1610612739,"Cleveland Cavaliers",27,17,10,0.63,48.9,40.3,84.9,0.475,11.9,31.8,0.373,18.4,23,0.8,9.7,33.3,43,23.4,14.9,6.4,4.1,4.6,19.3,21.9,110.9,6,6,4,5,5,2,21,24,12,15,22,8,15,19,9,18,12,18,24,19,27,25,13,4,5,21,3,10,"Cleveland Cavaliers"
1610612757,"Portland Trail Blazers",26,14,12,0.538,48.4,39.5,84,0.47,12.3,32,0.384,19.8,25.5,0.778,10.8,32.3,43.1,23.8,15.2,6.7,4.1,4.7,19.8,22,111.2,-0.4,17,11,9,10,11,24,26,16,10,21,3,5,4,20,14,21,17,19,22,24,26,14,9,3,19,17,10,"Portland Trail Blazers",1610612750,"Minnesota Timberwolves",26,13,13,0.5,48.2,42.4,87.2,0.486,11,33.2,0.333,19.5,24.6,0.795,9.7,33.2,42.9,26.4,16.7,8.6,5.5,3.8,22.1,20.9,115.4,-0.7,17,18,12,18,22,10,19,6,22,16,25,10,10,12,20,14,20,10,28,3,7,1,28,12,9,19,10,"Minnesota Timberwolves"
1610612746,"LA Clippers",28,15,13,0.536,48.2,39.1,84.3,0.464,11.9,32.7,0.365,17.5,23.3,0.75,9.3,34.5,43.8,22.8,15.6,6.3,4.9,4.3,19.9,19.9,107.7,-1.5,3,9,12,12,27,27,25,19,14,17,12,20,16,24,23,7,12,26,23,29,14,8,10,22,30,22,10,"LA Clippers",1610612738,"Boston Celtics",27,21,6,0.778,48.6,42.7,87,0.491,16.4,41.4,0.397,18.4,21.9,0.839,8.2,34.5,42.7,26.7,13.6,6.4,5,3.9,20.3,20.3,120.3,7.9,6,1,1,1,7,8,20,3,1,2,1,16,24,1,27,6,22,8,5,27,13,2,14,20,1,1,10,"Boston Celtics"
