TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS
1610612740,"New Orleans Pelicans",13,7,6,0.538,49.2,43.7,91.2,0.479,10.2,27.8,0.365,18.9,24.5,0.774,12.4,32.9,45.3,26.7,14.5,8.5,3.8,5.9,20.1,20.2,116.5,3.5,20,13,11,13,1,4,7,6,28,30,13,11,9,17,6,16,7,9,11,4,26,24,7,22,7,6,10,"New Orleans Pelicans",1610612763,"Memphis Grizzlies",14,9,5,0.643,48.7,43.2,92.6,0.467,12.6,33.9,0.371,15.8,22.2,0.711,13.5,34.1,47.6,24.1,15,6.6,5.1,5.1,21,21.4,114.8,1.4,5,4,5,6,8,5,4,17,12,13,8,27,21,30,1,9,2,19,18,24,16,18,15,11,11,13,10,"Memphis Grizzlies"
1610612742,"Dallas Mavericks",12,7,5,0.583,48.8,38.7,82.6,0.468,13.3,38.3,0.348,19.8,26.8,0.741,8.2,31.1,39.3,19.8,13.3,8.8,3.6,4.7,20.9,23.8,110.5,3.3,28,13,5,10,5,28,29,14,6,7,18,7,2,27,27,28,29,30,6,2,28,14,14,2,20,7,10,"Dallas Mavericks",1610612746,"LA Clippers",14,8,6,0.571,48,39.1,82.7,0.473,11.1,32.6,0.34,15.9,21.2,0.747,7.3,35.4,42.7,21.8,15.9,7.2,5.5,4.1,20.4,18.8,105.2,-1.9,5,8,11,11,23,24,27,10,22,21,22,26,24,26,30,4,21,26,23,18,11,7,10,30,30,22,10,"LA Clippers"
1610612762,"Utah Jazz",15,10,5,0.667,48.7,43,92.1,0.467,14.7,39.8,0.37,16.2,21.1,0.767,12.3,32.5,44.9,27.7,15.7,7.9,5.2,5.5,21.8,20.3,116.9,4.2,1,2,5,5,10,6,5,16,4,4,9,25,25,21,7,21,11,5,21,10,15,20,23,18,5,5,10,"Utah Jazz",1610612752,"New York Knicks",13,6,7,0.462,48.8,42.2,92.8,0.454,11.5,35.5,0.325,18.8,23.9,0.788,12.8,34.5,47.4,24.3,14.8,6.9,4.9,5.3,22.2,21.5,114.7,-2.2,20,17,16,19,6,9,3,24,19,10,28,14,13,11,3,6,3,17,14,22,18,19,25,9,12,24,10,"New York Knicks"
1610612757,"Portland Trail Blazers",13,9,4,0.692,48.4,38.6,82.3,0.469,11.8,30.6,0.387,20.2,26.5,0.762,10.6,33.4,44,23.5,16.2,6.8,3.9,4.5,18.8,22.8,109.3,1.9,20,4,3,3,12,29,30,12,16,25,3,2,3,22,16,15,18,22,25,23,24,11,3,3,24,12,10,"Portland Trail Blazers",1610612759,"San Antonio Spurs",14,6,8,0.429,48.4,41.9,90.6,0.463,13.1,35.6,0.369,15.1,20.9,0.726,11.6,31.1,42.7,28.5,17.2,7.2,4.9,5,18.6,19.4,112.1,-7.6,5,17,20,20,15,11,9,21,8,9,10,30,27,29,11,27,21,4,29,18,20,16,2,26,15,28,10,"San Antonio Spurs"
1610612758,"Sacramento Kings",12,6,6,0.5,48.4,41.8,86.5,0.484,14.3,38.6,0.371,18.8,24.4,0.768,7.6,32.7,40.3,27.3,14.5,7.1,3.4,3.8,21.3,21.7,116.8,0.1,28,17,11,15,11,12,21,2,5,5,7,16,10,20,28,19,28,6,12,20,29,3,17,7,6,17,10,"Sacramento Kings",1610612751,"Brooklyn Nets",14,6,8,0.429,48.4,39.9,83.9,0.475,11.5,32.1,0.359,18.9,23.6,0.8,8.7,32.1,40.8,25.4,13.6,7.8,7.5,4.4,21.9,20.3,110.1,1.4,5,17,20,20,15,23,26,8,20,22,15,12,17,8,25,23,26,12,7,11,1,9,24,19,21,13,10,"Brooklyn Nets"
