TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS
1610612752,"New York Knicks",13,6,7,0.462,48.8,42.2,92.8,0.454,11.5,35.5,0.325,18.8,23.9,0.788,12.8,34.5,47.4,24.3,14.8,6.9,4.9,5.3,22.2,21.5,114.7,-2.2,5,15,16,16,7,9,3,24,20,9,29,13,10,12,3,8,2,18,14,22,18,20,25,9,12,21,10,"New York Knicks",1610612760,"Oklahoma City Thunder",13,6,7,0.462,49.2,44.5,95.9,0.464,11.7,35.4,0.33,15.2,19.8,0.767,12.2,32.9,45.1,24.9,13.5,9.2,6.2,6,22.4,18.8,115.8,0.3,5,15,16,16,2,1,1,21,19,10,23,29,30,21,7,17,11,15,7,2,4,25,29,29,9,17,10,"Oklahoma City Thunder"
1610612741,"Chicago Bulls",13,6,7,0.462,48,40.2,86.5,0.464,10.7,29.3,0.365,20.4,23.9,0.852,10.4,33.2,43.6,24.2,15.5,8.1,5.8,7,20.4,19.6,111.4,1.6,5,15,16,16,23,22,20,20,25,28,12,2,10,2,18,16,19,19,20,8,7,29,11,26,18,12,10,"Chicago Bulls",1610612743,"Denver Nuggets",12,8,4,0.667,48,43.8,88.1,0.497,13.2,31.4,0.419,15.7,21.1,0.743,10.7,34.3,44.9,28.6,15.6,7.3,3.8,4.6,18.3,20,116.3,0.6,22,6,3,6,23,3,17,1,9,23,1,27,24,25,14,9,12,3,22,16,27,12,1,24,6,16,10,"Denver Nuggets"
1610612764,"Washington Wizards",13,7,6,0.538,48.4,40.8,86,0.474,9.7,29.7,0.326,17.3,21.5,0.804,9.1,35.5,44.6,23.8,13.6,5.6,6,3.8,19.5,19.2,108.5,-2.2,5,10,11,11,15,17,24,10,28,26,27,21,23,8,23,3,13,21,9,28,6,3,5,28,27,21,10,"Washington Wizards",1610612763,"Memphis Grizzlies",13,9,4,0.692,48.8,43.6,92.3,0.473,12.8,34.4,0.374,16.5,23.2,0.711,13.5,33.9,47.4,24.4,14.8,6.6,5.1,5.1,20.8,21.9,116.5,2.2,5,4,3,4,7,5,4,11,11,13,9,24,17,30,2,11,2,17,15,24,16,17,14,6,4,10,10,"Memphis Grizzlies"
1610612755,"Philadelphia 76ers",13,6,7,0.462,48,38.6,82.7,0.467,12.5,33.4,0.376,19,23.6,0.805,7.5,31.5,39,23.5,13.3,8.2,4.8,4.8,20.2,20.1,108.8,1.6,5,15,16,16,23,28,28,18,13,17,7,10,13,7,28,25,30,22,5,6,19,15,8,23,25,12,10,"Philadelphia 76ers",1610612762,"Utah Jazz",14,10,4,0.714,48.7,43.4,91.9,0.472,15,40,0.375,16.4,21,0.782,11.9,32.6,44.5,28.1,15.6,8.3,5.3,4.9,22.1,20.4,118.3,5,1,1,3,3,10,6,5,12,3,4,8,25,25,14,8,20,16,5,21,5,14,16,24,19,2,5,10,"Utah Jazz"
1610612758,"Sacramento Kings",11,5,6,0.455,48.5,41.4,86.1,0.48,14.2,38.7,0.366,19.4,24.9,0.777,7.5,32.4,39.8,27,14.4,7,3.5,3.7,21.6,21.8,116.3,-0.5,30,23,11,23,11,14,23,4,5,6,10,9,5,18,29,21,28,7,11,21,29,2,21,7,8,19,10,"Sacramento Kings",1610612744,"Golden State Warriors",12,5,7,0.417,48.4,42.5,89.3,0.476,14.7,40.3,0.364,16.7,20.9,0.797,9.3,32.3,41.5,28.6,16.6,7.1,3.9,3,24.2,19.8,116.3,-2.7,22,23,16,24,12,7,13,7,4,3,14,23,27,10,22,22,24,3,26,20,25,1,30,25,6,24,10,"Golden State Warriors"
1610612739,"Cleveland Cavaliers",12,8,4,0.667,49.3,41.5,87.3,0.476,12.8,32.7,0.39,19.6,24.3,0.805,10.4,34.9,45.3,25.3,15.3,5.6,4.5,4.4,20.8,23.8,115.3,8.1,22,6,3,6,1,12,19,8,12,20,2,8,9,6,17,5,6,13,18,29,22,9,13,2,10,1,10,"Cleveland Cavaliers",1610612750,"Minnesota Timberwolves",13,5,8,0.385,48.4,42,88.5,0.475,11.2,34.2,0.326,18,23.2,0.777,10.4,34.1,44.5,26.5,16.4,7.6,5.5,3.8,21.7,20.6,113.2,-2.5,5,23,25,25,15,10,15,9,21,15,28,18,17,17,18,10,17,9,25,13,10,3,22,17,14,23,10,"Minnesota Timberwolves"
1610612747,"Los Angeles Lakers",12,2,10,0.167,48.4,40.3,90.1,0.448,9.4,31.4,0.3,18.2,23.3,0.781,9.8,34.8,44.6,23.3,15.2,8,5.2,5.8,20.3,20.5,108.3,-8.2,22,29,27,29,12,21,11,25,30,23,30,17,15,16,20,6,14,24,17,9,15,22,9,18,29,29,10,"Los Angeles Lakers",1610612751,"Brooklyn Nets",13,6,7,0.462,48.4,40.2,84.2,0.477,11.8,32.5,0.365,18.5,23.1,0.8,8.8,32,40.8,25.7,13.7,8,7.7,4.5,22.3,20.2,110.6,2.5,5,15,16,16,15,22,25,6,17,21,11,16,19,9,24,23,25,12,10,9,1,10,27,21,19,8,10,"Brooklyn Nets"
