TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS
1610612755,"Philadelphia 76ers",18,9,9,0.5,48,38.7,82.9,0.467,12.2,32.6,0.373,18.9,23.6,0.802,7.9,32.1,40,23,14.1,8.4,4.9,5,19.9,19.5,108.6,2,9,16,17,17,25,25,29,16,12,18,9,12,15,8,26,22,29,25,9,3,17,15,9,23,27,9,10,"Philadelphia 76ers",1610612751,"Brooklyn Nets",19,9,10,0.474,48.3,40.9,83.2,0.492,11.8,31.9,0.371,17.7,22.2,0.8,7.7,32.6,40.3,26.8,14.7,7.3,7.5,4,21.7,19.3,111.4,0.3,3,16,20,20,22,17,26,3,18,21,11,19,21,10,29,19,28,10,14,18,1,4,23,26,18,14,10,"Brooklyn Nets"
1610612763,"Memphis Grizzlies",18,10,8,0.556,48.6,42.6,92.8,0.458,12.2,34.2,0.356,16.8,24.3,0.693,13.7,34.6,48.2,24.1,14.4,7.1,5.4,5.3,19.9,22.1,114.1,0.2,9,10,10,12,7,8,4,22,12,12,15,22,12,30,1,6,2,19,12,22,11,19,9,5,13,15,10,"Memphis Grizzlies",1610612758,"Sacramento Kings",17,10,7,0.588,48.3,43.1,87,0.496,14.1,37.9,0.373,19.6,25,0.786,7.8,33.2,41,28.1,14.9,7.2,2.9,4.4,21.1,21.6,120,3.2,24,10,5,9,15,4,19,1,5,6,10,8,5,15,28,14,26,4,15,20,30,9,19,10,1,6,10,"Sacramento Kings"
1610612743,"Denver Nuggets",18,11,7,0.611,48.3,42.7,86.7,0.493,12.4,30.9,0.401,16.7,22.1,0.754,10.6,33.6,44.1,27.7,15.8,7.1,4.2,4.6,19.2,20.3,114.5,0.2,9,5,5,5,17,7,21,2,10,26,1,23,22,24,15,12,14,5,21,24,24,12,4,21,10,15,10,"Denver Nuggets",1610612765,"Detroit Pistons",20,5,15,0.25,48,38.7,87.8,0.44,10.9,32.5,0.334,22.1,27.9,0.79,11.4,31.4,42.8,21.5,14.1,6.7,4,6.7,23,22.3,110.2,-7.7,1,26,30,29,25,27,16,29,25,19,24,1,1,14,12,26,20,28,7,26,27,29,29,4,20,29,10,"Detroit Pistons"
1610612756,"Phoenix Suns",17,11,6,0.647,48.3,42.8,90.6,0.472,13,33.8,0.384,16.5,20.1,0.824,11.5,31.5,43.1,27.7,13.6,7.5,5.8,4.2,21.8,20.3,115.1,7.3,24,5,3,4,15,5,8,11,7,15,5,24,28,5,9,25,18,6,5,11,7,6,25,20,9,2,10,"Phoenix Suns",1610612747,"Los Angeles Lakers",16,5,11,0.313,48.3,40.8,88.8,0.459,9.2,30,0.306,20,24.9,0.804,9.3,35.9,45.2,23.9,14.9,7.1,5,5.4,19.4,20.8,110.7,-3.6,30,26,23,26,14,20,14,21,30,28,30,3,6,6,22,3,8,20,16,21,16,21,6,15,19,25,10,"Los Angeles Lakers"
