TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
1610612754,"Indiana Pacers",82,35,47,0.427,48.2,42,89.6,0.469,13.6,37,0.367,18.7,23.7,0.79,10.1,31.4,41.5,27,14.9,7.7,5.8,5.3,21.2,20.2,116.3,-3.2,1,23,23,23,25,17,11,22,6,7,11,14,14,13,16,24,24,6,23,10,2,26,27,14,10,25,1610612739,"Cleveland Cavaliers",82,51,31,0.622,48.5,41.6,85.2,0.488,11.6,31.6,0.367,17.5,22.5,0.78,9.7,31.4,41.1,24.9,13.3,7.1,4.7,4.4,19,20.4,112.3,5.4,1,5,5,5,5,20,27,5,19,24,12,23,21,19,22,25,25,19,6,15,14,13,9,10,25,2
1610612753,"Orlando Magic",82,34,48,0.415,48.2,40.5,86.3,0.47,10.8,31.1,0.346,19.6,25,0.784,10.2,33.1,43.2,23.2,15.1,7.4,4.7,5.1,20.1,20.5,111.4,-2.6,1,25,25,25,22,26,23,21,25,27,24,6,8,16,15,14,16,26,24,12,15,22,16,7,26,24,
1610612755,"Philadelphia 76ers",82,54,28,0.659,48.5,40.8,83.8,0.487,12.6,32.6,0.387,21,25.1,0.835,8.7,32.2,40.9,25.2,13.7,7.7,4.7,4.6,20.4,19.6,115.2,4.3,1,3,3,3,5,24,30,6,12,16,1,1,5,1,27,22,26,16,13,8,13,16,19,20,14,3,1610612737,"Atlanta Hawks",82,41,41,0.5,48.4,44.6,92.4,0.483,10.8,30.5,0.352,18.5,22.6,0.818,11.2,33.2,44.4,25,12.9,7.1,4.9,5,18.8,19.7,118.4,0.3,1,17,17,17,8,1,3,9,26,28,21,16,20,3,9,12,10,18,3,18,12,21,6,19,3,18
1610612761,"Toronto Raptors",82,41,41,0.5,48.3,41.9,91.3,0.459,10.7,32,0.335,18.4,23.4,0.784,12.7,30.3,43,23.9,11.7,9.4,5.2,4.6,20,19.6,112.9,1.5,1,17,17,17,18,19,5,27,28,21,28,17,18,17,2,30,18,23,1,1,9,15,13,22,24,12,1610612764,"Washington Wizards",82,35,47,0.427,48.2,42.1,86.9,0.485,11.3,31.7,0.356,17.6,22.4,0.785,9.4,34.2,43.6,25.4,14.1,6.8,5.2,5,18.8,19.4,113.2,-1.2,1,23,23,23,25,14,20,8,21,23,18,22,22,15,24,5,15,14,16,23,9,20,5,24,21,23
1610612742,"Dallas Mavericks",82,38,44,0.463,48.6,40,84.3,0.475,15.2,41,0.371,19,25.1,0.755,7.6,31.2,38.8,22.9,12.2,6.3,3.7,3.8,20.7,21.8,114.2,0.1,1,21,21,21,3,28,29,15,3,3,8,12,6,23,30,27,30,28,2,29,28,2,23,1,16,19,1610612765,"Detroit Pistons",82,17,65,0.207,48.3,39.6,87.1,0.454,11.4,32.4,0.351,19.8,25.7,0.771,11.2,31.3,42.4,23,15.1,7,3.8,5.5,22.1,21,110.3,-8.2,1,30,30,30,18,29,19,30,20,19,22,4,2,21,10,26,21,27,25,20,27,27,30,3,29,29
1610612745,"Houston Rockets",82,22,60,0.268,48.2,40.6,88.9,0.457,10.4,31.9,0.327,19.1,25.3,0.754,13.4,32.9,46.3,22.4,16.2,7.3,4.6,6.2,20.5,20.6,110.7,-7.9,1,28,28,28,25,25,14,28,29,22,30,10,4,25,1,17,4,30,29,13,18,30,21,6,28,28,1610612748,"Miami Heat",82,44,38,0.537,48.3,39.2,85.3,0.46,12,34.8,0.344,19.1,23,0.831,9.7,30.9,40.6,23.8,13.5,8,3,3.8,18.5,20,109.5,-0.3,1,11,11,11,18,30,26,26,17,10,27,10,19,2,20,29,27,25,9,6,30,1,3,17,30,21
1610612749,"Milwaukee Bucks",82,58,24,0.707,48.4,42.7,90.4,0.473,14.8,40.3,0.368,16.6,22.4,0.743,11.1,37.5,48.6,25.8,14.6,6.4,4.9,3.9,18,19,116.9,3.6,1,1,1,1,12,10,7,19,4,4,10,28,23,29,11,1,1,12,22,27,11,5,2,26,8,5,1610612763,"Memphis Grizzlies",82,51,31,0.622,48.2,43.7,92.1,0.475,12,34.2,0.351,17.5,23.8,0.733,12,34.6,46.6,26,13.6,8.3,5.8,5.2,20,20,116.9,3.9,1,5,5,5,22,2,4,16,16,11,23,25,13,30,4,4,2,9,12,3,3,24,14,16,9,4
1610612744,"Golden State Warriors",82,44,38,0.537,48.4,43.1,90.2,0.479,16.6,43.2,0.385,16,20.2,0.794,10.5,34.1,44.6,29.8,16.3,7.2,4,4,21.4,18.4,118.9,1.8,1,11,11,11,12,5,8,12,1,1,2,29,30,9,14,7,8,1,30,14,25,6,28,30,2,11,1610612759,"San Antonio Spurs",82,22,60,0.268,48.4,43.1,92.6,0.465,11.1,32.2,0.345,15.8,21.2,0.743,11.8,31.9,43.7,27.2,15.3,7,3.9,5.3,19.9,18.5,113,-10,1,28,28,28,8,6,1,25,22,20,26,30,29,28,7,23,12,5,26,22,26,25,12,29,23,30
