TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
1610612738.0,Boston Celtics,82.0,57.0,25.0,0.695,48.7,42.2,88.8,0.475,16.0,42.6,0.377,17.5,21.6,0.812,9.7,35.6,45.3,26.7,13.4,6.4,5.2,3.9,18.8,19.1,117.9,6.5,1.0,2.0,2.0,2.0,1.0,13.0,15.0,14.0,2.0,2.0,6.0,24.0,28.0,4.0,20.0,3.0,7.0,7.0,7.0,27.0,6.0,4.0,7.0,25.0,4.0,1.0,1610612765.0,Detroit Pistons,82.0,17.0,65.0,0.207,48.3,39.6,87.1,0.454,11.4,32.4,0.351,19.8,25.7,0.771,11.2,31.3,42.4,23.0,15.1,7.0,3.8,5.5,22.1,21.0,110.3,-8.2,1.0,30.0,30.0,30.0,18.0,29.0,19.0,30.0,20.0,19.0,22.0,4.0,2.0,21.0,10.0,26.0,21.0,27.0,25.0,20.0,27.0,27.0,30.0,3.0,29.0,29.0
1610612741.0,Chicago Bulls,82.0,40.0,42.0,0.488,48.5,42.5,86.8,0.49,10.4,28.9,0.361,17.6,21.8,0.809,8.5,33.9,42.4,24.5,13.4,7.9,4.5,4.7,18.9,18.7,113.1,1.3,1.0,19.0,19.0,19.0,4.0,11.0,21.0,4.0,30.0,30.0,16.0,21.0,26.0,5.0,28.0,9.0,22.0,20.0,8.0,7.0,19.0,18.0,8.0,27.0,22.0,13.0,1610612754.0,Indiana Pacers,82.0,35.0,47.0,0.427,48.2,42.0,89.6,0.469,13.6,37.0,0.367,18.7,23.7,0.79,10.1,31.4,41.5,27.0,14.9,7.7,5.8,5.3,21.2,20.2,116.3,-3.2,1.0,23.0,23.0,23.0,25.0,17.0,11.0,22.0,6.0,7.0,11.0,14.0,14.0,13.0,16.0,24.0,24.0,6.0,23.0,10.0,2.0,26.0,27.0,14.0,10.0,25.0
1610612750.0,Minnesota Timberwolves,82.0,42.0,40.0,0.512,48.4,42.9,87.4,0.49,12.2,33.3,0.365,17.9,23.7,0.755,9.1,32.8,41.9,26.2,15.3,8.0,5.4,4.1,21.6,20.2,115.8,0.0,1.0,15.0,15.0,15.0,12.0,9.0,18.0,3.0,14.0,15.0,13.0,18.0,16.0,24.0,26.0,18.0,23.0,8.0,27.0,5.0,4.0,8.0,29.0,15.0,13.0,20.0,1610612742.0,Dallas Mavericks,82.0,38.0,44.0,0.463,48.6,40.0,84.3,0.475,15.2,41.0,0.371,19.0,25.1,0.755,7.6,31.2,38.8,22.9,12.2,6.3,3.7,3.8,20.7,21.8,114.2,0.1,1.0,21.0,21.0,21.0,3.0,28.0,29.0,15.0,3.0,3.0,8.0,12.0,6.0,23.0,30.0,27.0,30.0,28.0,2.0,29.0,28.0,2.0,23.0,1.0,16.0,19.0
1610612740.0,New Orleans Pelicans,82.0,42.0,40.0,0.512,48.4,42.0,87.6,0.48,11.0,30.1,0.364,19.3,24.4,0.793,10.6,33.1,43.7,25.9,14.6,8.3,4.1,4.7,20.5,20.4,114.4,1.9,1.0,15.0,15.0,15.0,8.0,16.0,17.0,11.0,23.0,29.0,15.0,8.0,10.0,11.0,13.0,13.0,13.0,11.0,21.0,2.0,24.0,17.0,20.0,12.0,15.0,10.0,1610612762.0,Utah Jazz,82.0,37.0,45.0,0.451,48.3,42.5,89.8,0.473,13.3,37.8,0.353,18.7,23.8,0.786,11.8,34.1,45.9,26.0,15.4,6.1,5.2,4.9,20.5,20.5,117.1,-0.9,1.0,22.0,22.0,22.0,18.0,12.0,10.0,18.0,7.0,5.0,20.0,13.0,12.0,14.0,6.0,6.0,5.0,10.0,28.0,30.0,7.0,19.0,21.0,9.0,7.0,22.0
1610612743.0,Denver Nuggets,82.0,53.0,29.0,0.646,48.2,43.6,86.4,0.504,11.8,31.2,0.379,16.8,22.4,0.751,10.1,32.9,43.0,28.9,14.5,7.5,4.5,4.2,18.6,19.5,115.8,3.3,1.0,4.0,4.0,4.0,25.0,3.0,22.0,1.0,18.0,25.0,4.0,27.0,24.0,26.0,17.0,15.0,19.0,2.0,20.0,11.0,20.0,10.0,4.0,23.0,12.0,6.0,1610612763.0,Memphis Grizzlies,82.0,51.0,31.0,0.622,48.2,43.7,92.1,0.475,12.0,34.2,0.351,17.5,23.8,0.733,12.0,34.6,46.6,26.0,13.6,8.3,5.8,5.2,20.0,20.0,116.9,3.9,1.0,5.0,5.0,5.0,22.0,2.0,4.0,16.0,16.0,11.0,23.0,25.0,13.0,30.0,4.0,4.0,2.0,9.0,12.0,3.0,3.0,24.0,14.0,16.0,9.0,4.0
1610612744.0,Golden State Warriors,82.0,44.0,38.0,0.537,48.4,43.1,90.2,0.479,16.6,43.2,0.385,16.0,20.2,0.794,10.5,34.1,44.6,29.8,16.3,7.2,4.0,4.0,21.4,18.4,118.9,1.8,1.0,11.0,11.0,11.0,12.0,5.0,8.0,12.0,1.0,1.0,2.0,29.0,30.0,9.0,14.0,7.0,8.0,1.0,30.0,14.0,25.0,6.0,28.0,30.0,2.0,11.0,1610612748.0,Miami Heat,82.0,44.0,38.0,0.537,48.3,39.2,85.3,0.46,12.0,34.8,0.344,19.1,23.0,0.831,9.7,30.9,40.6,23.8,13.5,8.0,3.0,3.8,18.5,20.0,109.5,-0.3,1.0,11.0,11.0,11.0,18.0,30.0,26.0,26.0,17.0,10.0,27.0,10.0,19.0,2.0,20.0,29.0,27.0,25.0,9.0,6.0,30.0,1.0,3.0,17.0,30.0,21.0
1610612757.0,Portland Trail Blazers,82.0,33.0,49.0,0.402,48.1,40.5,85.4,0.474,12.9,35.3,0.365,19.6,24.6,0.796,9.4,31.1,40.5,24.2,14.5,6.7,4.6,4.3,20.0,20.5,113.4,-4.0,1.0,26.0,26.0,26.0,29.0,27.0,25.0,17.0,8.0,9.0,14.0,5.0,9.0,8.0,24.0,28.0,28.0,22.0,19.0,24.0,17.0,12.0,14.0,8.0,19.0,26.0,1610612759.0,San Antonio Spurs,82.0,22.0,60.0,0.268,48.4,43.1,92.6,0.465,11.1,32.2,0.345,15.8,21.2,0.743,11.8,31.9,43.7,27.2,15.3,7.0,3.9,5.3,19.9,18.5,113.0,-10.0,1.0,28.0,28.0,28.0,8.0,6.0,1.0,25.0,22.0,20.0,26.0,30.0,29.0,28.0,7.0,23.0,12.0,5.0,26.0,22.0,26.0,25.0,12.0,29.0,23.0,30.0
1610612747.0,Los Angeles Lakers,82.0,43.0,39.0,0.524,48.5,42.9,89.0,0.482,10.8,31.2,0.346,20.6,26.6,0.775,10.0,35.7,45.7,25.3,14.1,6.4,4.6,5.1,17.9,21.5,117.2,0.6,1.0,14.0,14.0,14.0,5.0,8.0,13.0,10.0,24.0,26.0,25.0,2.0,1.0,20.0,18.0,2.0,6.0,15.0,15.0,26.0,16.0,23.0,1.0,2.0,6.0,16.0,1610612766.0,Charlotte Hornets,82.0,27.0,55.0,0.329,48.4,41.3,90.4,0.457,10.7,32.5,0.33,17.6,23.6,0.749,11.0,33.5,44.5,25.1,14.2,7.7,5.2,5.7,20.3,20.3,111.0,-6.2,1.0,27.0,27.0,27.0,12.0,22.0,6.0,29.0,27.0,18.0,29.0,20.0,17.0,27.0,12.0,10.0,9.0,17.0,17.0,9.0,8.0,29.0,17.0,13.0,27.0,27.0
