TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS
1610612766,"Charlotte Hornets",16,4,12,0.25,48.9,41.1,91.8,0.448,10.7,33.1,0.323,16.3,22.1,0.734,12.1,32.6,44.7,25.8,15,7.7,5.5,6.9,21.5,20.4,109.2,-5.6,1,26,28,27,4,15,5,27,26,18,28,25,21,28,7,21,10,11,18,11,10,29,20,20,23,26,10,"Charlotte Hornets",1610612754,"Indiana Pacers",13,7,6,0.538,48,41.7,89.8,0.464,15.2,39.8,0.381,19.4,24.2,0.8,10.9,33.4,44.3,28.6,16.5,6.8,6.8,5.8,22,20.4,117.9,1.1,26,15,6,13,23,14,12,19,3,5,6,9,10,9,14,13,14,4,27,23,2,24,26,19,3,13,10,"Indiana Pacers"
1610612753,"Orlando Magic",15,4,11,0.267,48.3,40.2,84.6,0.475,10.2,30.3,0.336,19.3,24.4,0.79,10.6,35.6,46.2,21.3,16.9,5.6,5.7,4.4,21.7,20.9,109.9,-3.4,4,26,27,26,16,21,24,9,28,27,24,10,9,11,15,2,4,28,28,30,8,9,23,13,21,25,10,"Orlando Magic",1610612750,"Minnesota Timberwolves",15,7,8,0.467,48.3,42.5,88,0.483,11.3,33.7,0.335,18.7,24.2,0.774,10.3,34.1,44.3,26.9,15.8,7.9,5.5,3.7,21.8,21.1,115.1,-0.6,4,15,19,19,16,9,15,4,21,14,25,16,11,18,18,10,13,9,22,6,11,2,24,12,9,19,10,"Minnesota Timberwolves"
1610612761,"Toronto Raptors",16,9,7,0.563,48,40.6,89.9,0.452,11.4,33.3,0.343,19.3,24.6,0.782,12.9,30.4,43.3,23.3,12.8,10.4,6.1,5.4,20.9,20.8,111.9,2.8,1,5,14,12,23,18,11,25,20,16,21,11,7,15,3,28,19,24,3,1,5,20,16,14,16,7,10,"Toronto Raptors",1610612748,"Miami Heat",15,7,8,0.467,48.3,38.9,84.6,0.46,12.3,35.1,0.352,20.1,23.1,0.867,8.9,30.5,39.4,24.5,14.3,7.8,3.1,4.5,19.7,21.7,110.3,0.1,4,15,19,19,16,24,24,22,12,11,18,3,17,1,23,27,28,16,11,8,30,10,6,6,20,16,10,"Miami Heat"
1610612740,"New Orleans Pelicans",15,9,6,0.6,49,43.6,90.7,0.481,11.1,28.9,0.386,18.4,23.6,0.78,12,33.2,45.2,27.2,14.2,7.8,4.3,5.7,19.9,19.8,116.7,4.7,4,5,6,7,2,4,8,5,22,29,5,17,15,16,8,14,7,7,10,8,23,23,7,24,6,5,10,"New Orleans Pelicans",1610612741,"Chicago Bulls",15,6,9,0.4,48,40.4,86.3,0.468,10.4,29,0.359,19.5,23.3,0.84,10,32.7,42.7,24.3,15.5,7.7,5.4,6.7,20.1,19.3,110.7,-1.1,4,22,23,23,23,20,22,15,27,28,15,6,16,3,20,18,20,19,20,10,13,28,8,27,19,21,10,"Chicago Bulls"
1610612742,"Dallas Mavericks",14,8,6,0.571,48.7,37.9,83.8,0.452,13.5,39.9,0.339,19.4,26,0.747,8.5,30.3,38.8,19.9,12.7,9.1,3.3,5.5,20.7,23.7,108.6,2.4,19,10,6,10,5,29,26,24,6,4,23,7,3,26,25,29,30,30,2,2,29,21,13,1,27,9,10,"Dallas Mavericks",1610612745,"Houston Rockets",15,3,12,0.2,48,38.8,88,0.441,12.5,35.3,0.353,19,24.9,0.762,13.2,32.5,45.7,21.7,17.9,7.5,5.5,6.3,21.2,22.5,109.1,-7.3,4,28,28,29,23,25,15,29,11,9,16,13,4,22,2,22,6,27,30,15,9,27,17,5,24,28,10,"Houston Rockets"
1610612749,"Milwaukee Bucks",14,11,3,0.786,48.7,40.1,90.8,0.441,13.2,38.6,0.343,18.2,24.8,0.735,12.7,37.9,50.6,23.9,15.4,7.1,6.4,5.2,19.5,21.3,111.6,5.2,19,2,1,2,5,22,7,28,7,7,22,18,6,27,5,1,1,20,19,21,3,16,5,11,17,4,10,"Milwaukee Bucks",1610612739,"Cleveland Cavaliers",14,8,6,0.571,49.1,41,87.1,0.47,13,32.4,0.401,19.7,24.9,0.793,10.5,33.6,44.1,24.8,14.4,5.7,4.4,4.5,20.6,23.6,114.7,5.5,19,10,6,10,1,16,20,12,9,20,2,4,5,10,16,12,17,13,12,29,22,11,12,2,11,3,10,"Cleveland Cavaliers"
1610612764,"Washington Wizards",15,8,7,0.533,48.3,40.7,86,0.473,10.8,30.7,0.352,16.7,21.2,0.789,9.2,35.3,44.5,24.5,14.1,6,5.9,4.2,19.3,19.7,108.9,-1.3,4,10,14,15,16,17,23,10,25,26,17,23,24,12,22,4,12,15,9,27,6,7,4,25,25,22,10,"Washington Wizards",1610612760,"Oklahoma City Thunder",15,7,8,0.467,49,44.6,95.1,0.469,11.9,34.7,0.344,15.5,20.3,0.761,11.8,33.1,44.9,24.6,14,8.5,6.3,6,22.3,19,116.6,0.1,4,15,19,19,2,1,2,13,16,12,20,29,29,23,10,16,9,14,8,4,4,25,27,29,7,17,10,"Oklahoma City Thunder"
1610612743,"Denver Nuggets",13,9,4,0.692,48,44.1,87.5,0.504,13.2,31.1,0.423,15.8,21.1,0.748,10.2,34,44.2,28.9,15.6,7.6,3.8,4.5,18.2,19.9,117.1,2.3,26,5,3,4,23,2,17,1,8,23,1,28,25,25,19,11,15,2,21,12,27,12,1,22,5,10,10,"Denver Nuggets",1610612752,"New York Knicks",14,7,7,0.5,48.7,42.3,92.8,0.456,11.5,35.3,0.326,18.9,24,0.786,12.9,34.2,47.1,24.4,14.7,7.1,4.8,5.3,22.4,21.6,114.9,-1.5,19,15,14,17,5,11,3,23,18,8,27,15,13,14,4,8,3,17,15,19,21,17,29,8,10,23,10,"New York Knicks"
1610612737,"Atlanta Hawks",15,9,6,0.6,48.3,44.1,95.2,0.463,9.2,28.6,0.322,17.3,20.9,0.827,11.7,34.2,45.9,24.3,12.5,7.1,5,6.1,20.5,21.7,114.6,0.7,4,5,6,7,16,3,1,21,30,30,29,20,26,4,11,9,5,18,1,20,18,26,11,7,12,14,10,"Atlanta Hawks",1610612738,"Boston Celtics",15,12,3,0.8,48.7,42.5,87.2,0.488,15.9,41.1,0.387,19.4,23,0.843,8.1,34.5,42.5,26.4,13,5.9,5.7,4.1,21.2,20.7,120.4,7.1,4,1,1,1,8,9,19,3,1,2,4,8,18,2,27,6,21,10,4,28,7,6,17,15,1,1,10,"Boston Celtics"
1610612756,"Phoenix Suns",13,8,5,0.615,48.4,41.8,89.1,0.469,12.2,33.2,0.366,16.8,20.4,0.823,11.2,29.8,41.1,27,13.3,8.1,5.4,4,21.5,20.5,112.5,6.4,26,10,5,6,11,13,14,14,14,17,10,21,28,5,13,30,25,8,6,5,14,5,21,17,14,2,10,"Phoenix Suns",1610612744,"Golden State Warriors",14,6,8,0.429,48.4,42.8,89.2,0.48,15.4,41.1,0.373,16.4,20.2,0.813,8.9,32.6,41.5,28.9,16.4,7.1,3.9,3.1,23.4,19.4,117.4,-0.1,19,22,19,22,14,7,13,6,2,1,8,24,30,6,24,19,24,1,26,21,24,1,30,26,4,18,10,"Golden State Warriors"
